-8.843529224395751953e-01,-1.021051168441772461e+00,-1.092138051986694336e+00,-1.160504102706909180e+00,-1.028928279876708984e+00,-1.527829766273498535e+00,-9.324823021888732910e-01,-1.121017098426818848e+00,-1.329032778739929199e+00,-8.445658087730407715e-01,-9.476125836372375488e-01,-9.930349588394165039e-01,-1.041532278060913086e+00,-8.915781378746032715e-01,-1.309999465942382812e+00,-1.308065652847290039e+00,-1.185780048370361328e+00,-9.549526572227478027e-01,-9.665226936340332031e-01,-1.140565752983093262e+00,-7.303890585899353027e-01,-1.334727525711059570e+00,-9.400529861450195312e-01,-9.065456986427307129e-01,-1.154223442077636719e+00,-1.117575407028198242e+00,-9.576049447059631348e-01,-8.777792453765869141e-01,-1.509652018547058105e+00,-8.087784051895141602e-01
6.376169323921203613e-01,1.415547132492065430e+00,1.193224787712097168e+00,7.392848730087280273e-01,6.951510310173034668e-01,7.788571119308471680e-01,9.959961175918579102e-01,8.786551356315612793e-01,9.205143451690673828e-01,1.253096222877502441e+00,1.041796207427978516e+00,9.513531923294067383e-01,1.082142114639282227e+00,6.942111849784851074e-01,1.249992370605468750e+00,8.426808714866638184e-01,1.050086855888366699e+00,1.313856124877929688e+00,1.025063157081604004e+00,1.111275315284729004e+00,1.141704320907592773e+00,8.157408237457275391e-01,1.277527451515197754e+00,1.180169463157653809e+00,8.809518814086914062e-01,9.265252947807312012e-01,1.115296602249145508e+00,8.850190639495849609e-01,8.817762732505798340e-01,1.065752387046813965e+00
-6.359414458274841309e-01,-1.108668923377990723e+00,-1.195185184478759766e+00,-1.056370615959167480e+00,-9.520105719566345215e-01,-1.135593652725219727e+00,-3.424305617809295654e-01,-1.179665207862854004e+00,-1.135804772377014160e+00,-7.066440582275390625e-01,-1.066599845886230469e+00,-9.269042015075683594e-01,-9.794322252273559570e-01,-1.227411627769470215e+00,-9.694049358367919922e-01,-9.011499881744384766e-01,-1.185493230819702148e+00,-1.340002059936523438e+00,-9.664627313613891602e-01,-1.015113830566406250e+00,-5.340979099273681641e-01,-8.686008453369140625e-01,-1.258459568023681641e+00,-1.220401287078857422e+00,-1.063261747360229492e+00,-1.049604296684265137e+00,-8.298205137252807617e-01,-9.038214683532714844e-01,-1.151646018028259277e+00,-1.203773736953735352e+00
1.137555241584777832e+00,9.187712073326110840e-01,7.389169931411743164e-01,1.327324748039245605e+00,1.091792464256286621e+00,8.834598660469055176e-01,7.453408837318420410e-01,1.001345396041870117e+00,1.008877635002136230e+00,9.937117099761962891e-01,1.041071772575378418e+00,1.277778744697570801e+00,1.195602059364318848e+00,1.115231275558471680e+00,9.438486099243164062e-01,1.311295509338378906e+00,6.629071831703186035e-01,6.881712675094604492e-01,8.741214275360107422e-01,1.018310546875000000e+00,1.148270249366760254e+00,1.078794479370117188e+00,1.158858060836791992e+00,9.810021519660949707e-01,9.360236525535583496e-01,8.972765207290649414e-01,1.013338088989257812e+00,7.088927626609802246e-01,8.092983365058898926e-01,9.375899434089660645e-01
1.080294728279113770e+00,1.389591813087463379e+00,1.143902182579040527e+00,1.598547697067260742e+00,1.364040851593017578e+00,1.246095538139343262e+00,9.836654067039489746e-01,1.058979511260986328e+00,1.023189187049865723e+00,8.355883955955505371e-01,1.196886181831359863e+00,1.152837157249450684e+00,8.400124907493591309e-01,1.211730837821960449e+00,9.607874155044555664e-01,7.838643193244934082e-01,1.150797486305236816e+00,1.199574828147888184e+00,1.334024906158447266e+00,1.066249370574951172e+00,9.450855851173400879e-01,6.576958894729614258e-01,1.033171296119689941e+00,1.285712122917175293e+00,1.335724115371704102e+00,1.365411877632141113e+00,9.727465510368347168e-01,1.393884778022766113e+00,1.550189256668090820e+00,9.765871167182922363e-01
5.689407587051391602e-01,1.002972841262817383e+00,9.174640178680419922e-01,7.191630005836486816e-01,1.124029040336608887e+00,9.035509824752807617e-01,9.478301405906677246e-01,8.587599396705627441e-01,8.438640236854553223e-01,5.775542259216308594e-01,1.169548153877258301e+00,8.817206621170043945e-01,8.893458843231201172e-01,9.380152225494384766e-01,1.111300826072692871e+00,7.819551229476928711e-01,1.270454287528991699e+00,8.249860405921936035e-01,9.726305007934570312e-01,1.090892672538757324e+00,1.371650338172912598e+00,7.566679716110229492e-01,9.870380759239196777e-01,1.301579952239990234e+00,8.589928746223449707e-01,1.043719291687011719e+00,1.276699304580688477e+00,1.042414903640747070e+00,6.903875470161437988e-01,1.285057783126831055e+00
-5.162613987922668457e-01,-7.270069718360900879e-01,-9.041066765785217285e-01,-1.161620616912841797e+00,-1.061385750770568848e+00,-7.706823348999023438e-01,-8.792392015457153320e-01,-9.566292762756347656e-01,-1.090320587158203125e+00,-5.380900502204895020e-01,-9.258095622062683105e-01,-9.798748493194580078e-01,-9.462833404541015625e-01,-4.258115887641906738e-01,-1.434814214706420898e+00,-9.275990128517150879e-01,-1.299798488616943359e+00,-8.196976780891418457e-01,-9.910442829132080078e-01,-1.041227102279663086e+00,-7.266707420349121094e-01,-9.812265038490295410e-01,-1.146555781364440918e+00,-1.104343295097351074e+00,-9.928214550018310547e-01,-1.030892014503479004e+00,-1.289648652076721191e+00,-1.487237215042114258e+00,-1.213327050209045410e+00,-1.064517021179199219e+00
-9.022585153579711914e-01,-9.772250652313232422e-01,-1.177415370941162109e+00,-7.827256917953491211e-01,-1.038377642631530762e+00,-1.188646435737609863e+00,-8.550261259078979492e-01,-1.090981483459472656e+00,-1.084773182868957520e+00,-1.203712105751037598e+00,-6.987040638923645020e-01,-1.381388664245605469e+00,-1.011774420738220215e+00,-1.260442614555358887e+00,-1.199248671531677246e+00,-1.060363769531250000e+00,-1.124942421913146973e+00,-1.026354670524597168e+00,-1.249616622924804688e+00,-1.524408817291259766e+00,-1.374652981758117676e+00,-9.593601822853088379e-01,-7.133088707923889160e-01,-9.486497044563293457e-01,-9.030556082725524902e-01,-9.871643185615539551e-01,-9.226157665252685547e-01,-1.317692995071411133e+00,-6.975666880607604980e-01,-1.258192777633666992e+00
8.785476684570312500e-01,1.027029395103454590e+00,9.408516883850097656e-01,1.310927152633666992e+00,1.205803513526916504e+00,8.265249133110046387e-01,1.033217549324035645e+00,7.431039810180664062e-01,9.900732636451721191e-01,1.429234027862548828e+00,6.510833501815795898e-01,7.590799331665039062e-01,1.160060882568359375e+00,8.054134249687194824e-01,5.165038108825683594e-01,1.196979165077209473e+00,1.219970226287841797e+00,1.183950662612915039e+00,1.016984224319458008e+00,1.131851792335510254e+00,1.225923299789428711e+00,8.912495374679565430e-01,8.238710165023803711e-01,7.990694046020507812e-01,1.013419985771179199e+00,9.907134771347045898e-01,8.543197512626647949e-01,1.317736506462097168e+00,1.031342744827270508e+00,8.365111351013183594e-01
8.168132305145263672e-01,1.470622062683105469e+00,1.050345897674560547e+00,1.214495420455932617e+00,9.107948541641235352e-01,1.299867868423461914e+00,1.024074196815490723e+00,8.587402701377868652e-01,1.065999984741210938e+00,1.019384384155273438e+00,6.342070102691650391e-01,1.039012670516967773e+00,1.130838155746459961e+00,1.166942715644836426e+00,8.914863467216491699e-01,1.080259919166564941e+00,8.375523090362548828e-01,8.824031352996826172e-01,1.307579040527343750e+00,1.070124030113220215e+00,1.113747119903564453e+00,8.648787736892700195e-01,1.056222915649414062e+00,1.082068800926208496e+00,5.790153741836547852e-01,1.259614467620849609e+00,1.310627698898315430e+00,1.108945131301879883e+00,9.310755729675292969e-01,1.357278108596801758e+00
