-9.424272775650024414e-01,-8.497065305709838867e-01,-6.850608587265014648e-01,-1.069086313247680664e+00,-1.135784983634948730e+00,-9.103194475173950195e-01,-6.475728154182434082e-01,-7.751910686492919922e-01,-9.402111172676086426e-01,-8.213848471641540527e-01,-7.699143886566162109e-01,-9.965435862541198730e-01,-9.812953472137451172e-01,-7.676521539688110352e-01,-7.048377394676208496e-01,-9.381703734397888184e-01,-7.597155570983886719e-01,-9.471027255058288574e-01,-4.991298913955688477e-01,-4.500401914119720459e-01
7.345013618469238281e-01,9.371573328971862793e-01,1.307386994361877441e+00,1.147653698921203613e+00,7.522761821746826172e-01,1.038112401962280273e+00,8.730271458625793457e-01,8.424075245857238770e-01,7.937845587730407715e-01,1.231522321701049805e+00,9.096410870552062988e-01,8.842224478721618652e-01,9.871483445167541504e-01,1.081293463706970215e+00,1.020652174949645996e+00,1.018136262893676758e+00,1.025871634483337402e+00,1.295831441879272461e+00,9.039045572280883789e-01,9.602411985397338867e-01
-9.565806388854980469e-01,-1.006776213645935059e+00,-1.182313442230224609e+00,-1.058486580848693848e+00,-9.708353877067565918e-01,-1.231611609458923340e+00,-7.925119996070861816e-01,-1.093622326850891113e+00,-1.207623124122619629e+00,-8.427356481552124023e-01,-7.826674580574035645e-01,-8.573772907257080078e-01,-1.001679182052612305e+00,-9.742683172225952148e-01,-1.013021707534790039e+00,-1.112516045570373535e+00,-9.758494496345520020e-01,-9.318088293075561523e-01,-9.534406065940856934e-01,-1.014173626899719238e+00
-9.398299455642700195e-01,-1.074604868888854980e+00,-9.102878570556640625e-01,-1.134444475173950195e+00,-1.211828470230102539e+00,-8.395513296127319336e-01,-8.147496581077575684e-01,-1.082769155502319336e+00,-8.893371820449829102e-01,-9.450919032096862793e-01,-1.038912415504455566e+00,-9.949112534523010254e-01,-1.153330683708190918e+00,-8.785656094551086426e-01,-9.226852059364318848e-01,-1.094225764274597168e+00,-1.013473510742187500e+00,-9.214006066322326660e-01,-9.774402379989624023e-01,-9.924261569976806641e-01
1.077090859413146973e+00,7.320901155471801758e-01,1.251972556114196777e+00,8.907799124717712402e-01,1.021824002265930176e+00,9.782247543334960938e-01,8.765559196472167969e-01,5.735775828361511230e-01,7.859036922454833984e-01,9.907364249229431152e-01,1.014887332916259766e+00,1.019272327423095703e+00,8.696748018264770508e-01,8.596698641777038574e-01,8.218808770179748535e-01,1.076453328132629395e+00,1.066133260726928711e+00,1.420565962791442871e+00,6.882605552673339844e-01,1.070608735084533691e+00
-1.163959980010986328e+00,-1.162695288658142090e+00,-1.196321368217468262e+00,-7.704063653945922852e-01,-1.140205025672912598e+00,-9.628900885581970215e-01,-1.027822494506835938e+00,-1.057434201240539551e+00,-1.154171347618103027e+00,-1.189327001571655273e+00,-1.991311788558959961e+00,-1.132927656173706055e+00,-1.060445189476013184e+00,-8.443241715431213379e-01,-1.026696085929870605e+00,-1.017780303955078125e+00,-1.209711432456970215e+00,-7.209742069244384766e-01,-9.634906053543090820e-01,-8.398733139038085938e-01
9.379952549934387207e-01,1.153092384338378906e+00,1.038442254066467285e+00,1.217329740524291992e+00,9.950783848762512207e-01,8.975852727890014648e-01,8.821055889129638672e-01,1.046224832534790039e+00,9.141675829887390137e-01,8.886388540267944336e-01,9.780487418174743652e-01,9.960404038429260254e-01,8.564143776893615723e-01,9.867320060729980469e-01,8.840184211730957031e-01,8.618057966232299805e-01,1.599943995475769043e+00,1.042999386787414551e+00,9.495460987091064453e-01,1.294735789299011230e+00
1.061064004898071289e+00,1.152782559394836426e+00,9.649549722671508789e-01,1.141812324523925781e+00,7.005505561828613281e-01,9.420846700668334961e-01,1.012399673461914062e+00,4.733878970146179199e-01,7.879027724266052246e-01,5.553007125854492188e-01,6.098368167877197266e-01,3.929670155048370361e-01,6.025857329368591309e-01,8.274940252304077148e-01,9.580824375152587891e-01,1.335386991500854492e+00,6.845591664314270020e-01,9.423318505287170410e-01,9.462926387786865234e-01,1.019636392593383789e+00
-8.739991188049316406e-01,-9.884098172187805176e-01,-8.728660345077514648e-01,-1.098677039146423340e+00,-1.018937826156616211e+00,-9.497676491737365723e-01,-8.171085119247436523e-01,-1.257176399230957031e+00,-8.524228334426879883e-01,-9.080572128295898438e-01,-9.024357795715332031e-01,-9.998260736465454102e-01,-1.153947472572326660e+00,-1.078150987625122070e+00,-9.106346368789672852e-01,-1.164753675460815430e+00,-1.080852150917053223e+00,-1.035454750061035156e+00,-8.986009359359741211e-01,-7.053939700126647949e-01
9.566619396209716797e-01,9.012541770935058594e-01,8.633679747581481934e-01,1.285494327545166016e+00,8.729869723320007324e-01,9.444917440414428711e-01,6.770083308219909668e-01,6.856384873390197754e-01,8.562313914299011230e-01,1.179931521415710449e+00,7.959454059600830078e-01,8.838189244270324707e-01,8.274860382080078125e-01,8.936629891395568848e-01,9.862103462219238281e-01,6.362260580062866211e-01,8.016390800476074219e-01,9.822258949279785156e-01,8.014839291572570801e-01,1.175793051719665527e+00
-7.690253853797912598e-01,-5.149298310279846191e-01,-9.304427504539489746e-01,-6.978627443313598633e-01,-7.780258059501647949e-01,-8.739091157913208008e-01,-6.403713822364807129e-01,-3.520191311836242676e-01,-5.986730456352233887e-01,-8.944942355155944824e-01,-7.474242448806762695e-01,-7.718642354011535645e-01,-4.582517445087432861e-01,-6.787198185920715332e-01,-6.706662774085998535e-01,-6.348037123680114746e-01,-6.609579920768737793e-01,-1.062189698219299316e+00,-6.799575090408325195e-01,-1.055969834327697754e+00
9.083201885223388672e-01,9.376544356346130371e-01,9.886586666107177734e-01,9.119391441345214844e-01,8.038370013236999512e-01,9.919853210449218750e-01,1.063117980957031250e+00,1.120808005332946777e+00,9.273288249969482422e-01,9.830138683319091797e-01,1.036193132400512695e+00,1.025085926055908203e+00,9.415009617805480957e-01,9.287033081054687500e-01,9.837291240692138672e-01,9.168401360511779785e-01,9.923211336135864258e-01,8.185979723930358887e-01,9.153767824172973633e-01,9.302220940589904785e-01
