x_1,x_2
-0.024359666117302226,-0.06076185990516336
-0.09105195258685406,-0.28308619731122064
-0.4845348530136633,-0.17480717503399212
-0.08275081406394769,-0.6349673331246635
-0.5482138268848384,-0.41342417758272454
-0.27557324794082305,-0.43370270964001634
-0.7627791317968811,-0.4609704382178137
-0.16784974160131227,-0.4883802929704011
-0.06322950897324198,-0.4823838744020783
-0.6967468054600303,-0.26929781069560477
-0.6019686434842555,-0.050684910141926665
-0.24733127034492952,-0.8000026265537041
-0.9471302093676321,-0.2777058610124108
-0.8751085964392935,-0.36494154743779994
-0.8370013341079101,-0.38840696763903537
-0.545828470567308,-0.7399547544534908
-0.9209579851007526,-0.17795160650887532
-1.0426463865569655,-0.720745137649013
-0.6759217608214776,-0.7437906616639278
-0.3242280932978723,-1.1170457792624902
-0.26895550501329346,-1.2369214499228693
-1.1529906381644874,-0.6392871768729584
-0.43208600777332506,-0.9411889748546152
-1.1176490422405383,-1.0241502764841428
-0.9122302324765705,-1.1257219697940783
-0.011992366052677284,-1.210750229805857
-1.2107734337013571,-0.31789384193962356
-1.063624572720098,-0.9429984782769054
-1.304438381731984,-0.12532802282211186
-1.1199365664322194,-0.9457591368104641
-0.2678572975970095,-1.5910780639494444
-1.3643816463758132,-0.8856336905773219
-0.4652211682328815,-1.3752258610830665
-0.6378777992137223,-1.3151312912513262
-1.184135231043447,-0.7685702050660392
-0.5900656724936333,-1.233453512910362
-1.6003696810303865,-0.14790653941916254
-1.6624796886419464,-0.3699203725621505
-0.6473268459836028,-1.4546588763224353
-1.252180550056723,-1.176896919394805
-0.6119475627253141,-1.4666299234810776
-0.49192615319971544,-1.6179301967177793
-1.4028926912015347,-0.8455628588013226
-1.153858975229415,-1.3939932775297486
-0.16674956740973812,-1.6982369166611715
-1.758714103394162,-0.3900142179695454
-0.5511626475033395,-1.6705384113657438
-1.3770884867603908,-1.053378106728637
-0.19504355748947333,-1.7214454227950444
-0.5314934575535908,-1.514024260819573
-1.1479319098251022,-1.4476353421821884
-0.13371582320732323,-1.8781680452047578
-0.5007373230114549,-1.6168515163613364
-0.8083299839667664,-1.8822646037053623
-1.204437556520027,-1.3492041016055598
-1.4187119741723926,-1.0943641988666624
-0.09248451563371773,-1.8284745341410886
-0.2596346382095831,-1.800713530323323
-0.5742339463427708,-1.768180910237323
-1.4753724749300812,-1.3286324254866386
-1.0054056501059723,-1.612571865468107
-1.1961239484922377,-1.4382399489133295
-1.0793636967482456,-1.7946694564989993
-1.9122021848948059,-1.0306272504438763
-1.8314010567557641,-0.8630260040408757
-2.0057114402492537,-0.6735074423082867
-1.5935340466362469,-1.596402186289085
-0.9040894955352545,-2.0154360889248952
-0.09958886643923925,-2.0521418440330743
-2.279321549447735,-0.2803943568935612
-1.9525649573861248,-0.7251918201901617
-1.3079975818781637,-1.5375633863416986
-0.5403376263447903,-2.0631154520191224
-2.029612959651259,-0.11075321963187079
-2.1983173917965892,-0.16523552142502496
-2.1448162030936473,-0.4365831069765509
-1.7034873703545106,-1.339050383403027
-1.4150304613035658,-1.7843318180231869
-2.31185061567378,-0.19356546174888578
-2.4402011244206623,-0.19504889761374322
-2.2439915223013163,-0.46473514080094347
-1.731266313887879,-1.2950688353873456
-0.8865561464509746,-2.2584020165401872
-2.2304617408846275,-0.16542535957074378
-2.0720746502605847,-1.175763305130463
-1.1117531375498437,-2.1861774950021085
-2.3542557305254306,-0.5303918514377521
-1.1076360883007226,-2.0136470990026663
-0.7692145437614055,-2.1780286743114043
-0.39243372246932573,-2.3388350536302003
-0.8818359427283955,-2.257682150673519
-0.2793182300649182,-2.4260464104262534
-1.286024855912137,-1.901602677398861
-2.1817627228489958,-0.7348734390647831
-0.6412061271798581,-2.317236297159914
-1.847333419509086,-1.6806152569774309
-2.003810929288692,-0.6757109386924789
-1.980966219418443,-1.640623531441495
-1.3254141355541211,-1.8951574697532596
-2.1829789155437496,-1.3189718151535157
