-8.810201287269592285e-01,-1.015109658241271973e+00,-1.090895175933837891e+00,-1.118575811386108398e+00,-9.011118412017822266e-01,-1.183483600616455078e+00,-7.700649499893188477e-01,-1.224322438240051270e+00,-9.148397445678710938e-01,-9.980390071868896484e-01
-4.512042701244354248e-01,-9.200991988182067871e-01,-8.621175289154052734e-01,-1.291688919067382812e+00,-1.018486499786376953e+00,-1.103868603706359863e+00,-7.688434123992919922e-01,-9.272792339324951172e-01,-9.821583032608032227e-01,-8.245939016342163086e-01
-7.602397203445434570e-01,-6.824896931648254395e-01,-8.936408758163452148e-01,-8.308638334274291992e-01,-8.389821052551269531e-01,-1.170825839042663574e+00,-9.174808263778686523e-01,-1.040637135505676270e+00,-6.370154619216918945e-01,-1.246780157089233398e+00
1.193964123725891113e+00,8.524653911590576172e-01,1.197392225265502930e+00,7.532645463943481445e-01,6.086188554763793945e-01,8.481837511062622070e-01,6.901603937149047852e-01,1.005310297012329102e+00,7.890328168869018555e-01,8.506582975387573242e-01
-1.279920697212219238e+00,-8.596170544624328613e-01,-6.661465167999267578e-01,-8.570803999900817871e-01,-7.473210096359252930e-01,-8.684130311012268066e-01,-9.792714715003967285e-01,-1.062446713447570801e+00,-1.219491839408874512e+00,-1.105370283126831055e+00
-8.916996717453002930e-01,-7.176773548126220703e-01,-1.152697801589965820e+00,-9.384568333625793457e-01,-1.246348381042480469e+00,-1.115645051002502441e+00,-7.358826398849487305e-01,-1.111530661582946777e+00,-1.211982131004333496e+00,-1.188937067985534668e+00
8.116626739501953125e-01,1.137276530265808105e+00,9.486166834831237793e-01,8.342259526252746582e-01,1.176707267761230469e+00,8.912636637687683105e-01,9.180796742439270020e-01,6.766682267189025879e-01,5.605764985084533691e-01,1.094773769378662109e+00
-1.019001245498657227e+00,-1.035025954246520996e+00,-1.076953411102294922e+00,-7.994852066040039062e-01,-1.231274604797363281e+00,-8.823187947273254395e-01,-9.629852175712585449e-01,-7.503885030746459961e-01,-9.652201533317565918e-01,-8.323206901550292969e-01
1.111263275146484375e+00,9.204174876213073730e-01,8.029925227165222168e-01,5.175753831863403320e-01,1.038543224334716797e+00,9.925535917282104492e-01,1.000939130783081055e+00,6.858928203582763672e-01,1.068526148796081543e+00,8.295820951461791992e-01
-9.551575779914855957e-01,-1.043873190879821777e+00,-8.874844312667846680e-01,-1.453426003456115723e+00,-9.008201956748962402e-01,-1.118732571601867676e+00,-1.231203675270080566e+00,-1.020940303802490234e+00,-1.384435415267944336e+00,-9.139571189880371094e-01
-1.070758223533630371e+00,-6.687661409378051758e-01,-9.288794398307800293e-01,-9.438181519508361816e-01,-7.963796257972717285e-01,-6.927375197410583496e-01,-7.735440731048583984e-01,-9.146186113357543945e-01,-1.117930889129638672e+00,-1.312873363494873047e+00
-1.071939468383789062e+00,-1.493860125541687012e+00,-1.225013971328735352e+00,-7.129713296890258789e-01,-1.345452427864074707e+00,-8.682767748832702637e-01,-1.077903270721435547e+00,-8.142231702804565430e-01,-1.010976314544677734e+00,-8.551394343376159668e-01
-1.053743481636047363e+00,-8.389662504196166992e-01,-1.132853031158447266e+00,-1.039234161376953125e+00,-8.904840946197509766e-01,-1.546468138694763184e+00,-6.067035794258117676e-01,-1.139221787452697754e+00,-1.028623700141906738e+00,-1.014040946960449219e+00
-6.585294604301452637e-01,-9.626868367195129395e-01,-8.937684893608093262e-01,-9.988699555397033691e-01,-5.530355572700500488e-01,-1.361827969551086426e+00,-9.804127812385559082e-01,-9.881684780120849609e-01,-9.484664201736450195e-01,-7.564295530319213867e-01
9.774951338768005371e-01,8.375613093376159668e-01,9.821536540985107422e-01,8.351830244064331055e-01,8.361821174621582031e-01,8.739687800407409668e-01,7.482907176017761230e-01,1.305980801582336426e+00,7.990569472312927246e-01,8.372610211372375488e-01
9.840522408485412598e-01,9.129261970520019531e-01,1.043638467788696289e+00,9.737575054168701172e-01,1.136775255203247070e+00,6.528651714324951172e-01,6.217358708381652832e-01,9.927215576171875000e-01,1.369905591011047363e+00,1.169250130653381348e+00
1.018139958381652832e+00,8.219384551048278809e-01,9.075301289558410645e-01,1.146679997444152832e+00,8.379700779914855957e-01,7.260017991065979004e-01,1.214973568916320801e+00,1.305408835411071777e+00,1.381915450096130371e+00,1.391996502876281738e+00
1.101302146911621094e+00,9.520447254180908203e-01,8.625437617301940918e-01,1.196744680404663086e+00,1.179249644279479980e+00,1.144973635673522949e+00,1.215451359748840332e+00,1.456399440765380859e+00,1.232570767402648926e+00,8.569199442863464355e-01
-8.101806640625000000e-01,-1.084725141525268555e+00,-6.568918228149414062e-01,-1.094118595123291016e+00,-8.444017767906188965e-01,-1.185345292091369629e+00,-9.715909361839294434e-01,-1.388623952865600586e+00,-1.192453384399414062e+00,-9.394664168357849121e-01
-4.912777543067932129e-01,-7.177398800849914551e-01,-1.068589687347412109e+00,-9.435970187187194824e-01,-9.662218093872070312e-01,-1.189547777175903320e+00,-6.236311793327331543e-01,-9.411661028861999512e-01,-1.414667367935180664e+00,-5.718147754669189453e-01
-1.220146656036376953e+00,-9.729429483413696289e-01,-8.442132472991943359e-01,-7.935078144073486328e-01,-1.074136734008789062e+00,-1.189504861831665039e+00,-8.179985880851745605e-01,-1.162807464599609375e+00,-8.879237174987792969e-01,-9.801796078681945801e-01
7.831577658653259277e-01,1.331145048141479492e+00,1.235883474349975586e+00,1.229703426361083984e+00,1.144665479660034180e+00,8.059310913085937500e-01,8.066234588623046875e-01,9.932708740234375000e-01,1.399473667144775391e+00,9.169840812683105469e-01
8.764718174934387207e-01,1.200985550880432129e+00,1.009024143218994141e+00,9.697079062461853027e-01,1.041901946067810059e+00,9.742165207862854004e-01,9.742718935012817383e-01,1.281800150871276855e+00,1.374511361122131348e+00,9.390790462493896484e-01
-6.600689291954040527e-01,-8.084262013435363770e-01,-1.105047821998596191e+00,-1.187792420387268066e+00,-1.116042256355285645e+00,-1.058947205543518066e+00,-1.084576487541198730e+00,-8.416084051132202148e-01,-8.960992693901062012e-01,-1.052686572074890137e+00
-1.092638254165649414e+00,-1.009791135787963867e+00,-1.483257412910461426e+00,-5.624461770057678223e-01,-1.231585979461669922e+00,-7.044240832328796387e-01,-1.213314533233642578e+00,-1.039102911949157715e+00,-1.152472257614135742e+00,-9.487891793251037598e-01
-1.019459247589111328e+00,-1.193432092666625977e+00,-1.024446010589599609e+00,-8.411272168159484863e-01,-5.765800476074218750e-01,-8.101173043251037598e-01,-7.535526752471923828e-01,-7.693699002265930176e-01,-9.580684900283813477e-01,-1.087492227554321289e+00
1.170125722885131836e+00,1.456648945808410645e+00,1.072157382965087891e+00,5.246921777725219727e-01,1.286187291145324707e+00,6.159659624099731445e-01,1.222153544425964355e+00,9.137055277824401855e-01,1.314137816429138184e+00,8.106004595756530762e-01
1.366783857345581055e+00,9.306964874267578125e-01,8.891894221305847168e-01,1.201588511466979980e+00,9.679033756256103516e-01,1.012540698051452637e+00,1.012044310569763184e+00,9.744203090667724609e-01,1.330472230911254883e+00,1.101035475730895996e+00
-9.103657007217407227e-01,-9.855175614356994629e-01,-1.042681813240051270e+00,-1.170784711837768555e+00,-8.345160484313964844e-01,-9.769169092178344727e-01,-6.238153576850891113e-01,-8.386482596397399902e-01,-1.240795969963073730e+00,-1.051663160324096680e+00
8.163654804229736328e-01,1.079225420951843262e+00,7.001363039016723633e-01,9.722177982330322266e-01,6.223708391189575195e-01,8.291561007499694824e-01,1.579567193984985352e+00,8.829699158668518066e-01,9.459915161132812500e-01,1.147948026657104492e+00
