1.368290901184082031e+00,8.363940715789794922e-01
-7.960712313652038574e-01,-8.880178928375244141e-01
-1.077858686447143555e+00,-9.135367274284362793e-01
-8.058516979217529297e-01,-7.694975137710571289e-01
1.124604701995849609e+00,1.029936909675598145e+00
-8.512046933174133301e-01,-7.884993553161621094e-01
-7.004824876785278320e-01,-9.247957468032836914e-01
-1.171925425529479980e+00,-1.030133724212646484e+00
-1.186387658119201660e+00,-6.688103675842285156e-01
-9.300277233123779297e-01,-4.998143911361694336e-01
-1.156320691108703613e+00,-1.140044093132019043e+00
-9.869196414947509766e-01,-1.074750900268554688e+00
-8.603557944297790527e-01,-7.415691614151000977e-01
-1.004733562469482422e+00,-8.695206046104431152e-01
9.138856530189514160e-01,9.458291530609130859e-01
-5.592173933982849121e-01,-1.165637493133544922e+00
-9.759054183959960938e-01,-1.001444458961486816e+00
5.189734101295471191e-01,6.822429895401000977e-01
-1.078503251075744629e+00,-1.060057640075683594e+00
-1.102489948272705078e+00,-7.809342741966247559e-01
9.855605363845825195e-01,7.905063629150390625e-01
-9.695414900779724121e-01,-8.352336883544921875e-01
-1.274527788162231445e+00,-7.188497185707092285e-01
1.184268712997436523e+00,8.061461448669433594e-01
1.136124134063720703e+00,8.947851657867431641e-01
1.204905629158020020e+00,1.088904380798339844e+00
-1.127861380577087402e+00,-9.387197494506835938e-01
6.604266166687011719e-01,7.011430263519287109e-01
-1.277488231658935547e+00,-8.945131301879882812e-01
-1.355452418327331543e+00,-7.933877110481262207e-01
-1.134205102920532227e+00,-1.049879074096679688e+00
-8.962302803993225098e-01,-7.738549709320068359e-01
-4.552454352378845215e-01,-9.699025154113769531e-01
1.033192276954650879e+00,5.988697409629821777e-01
-1.213152766227722168e+00,-1.040543198585510254e+00
9.225150942802429199e-01,1.068246126174926758e+00
7.770154476165771484e-01,1.258655667304992676e+00
-1.285168528556823730e+00,-9.621779918670654297e-01
7.610194683074951172e-01,1.137657523155212402e+00
7.782493829727172852e-01,1.300323247909545898e+00
-8.555011749267578125e-01,-8.139665126800537109e-01
-1.462383389472961426e+00,-1.089988946914672852e+00
-1.053883194923400879e+00,-1.050793170928955078e+00
1.053065180778503418e+00,6.680129170417785645e-01
-7.805660367012023926e-01,-9.806286096572875977e-01
-8.591555356979370117e-01,-8.095529675483703613e-01
9.294871687889099121e-01,1.374741196632385254e+00
-9.207094311714172363e-01,-7.204727530479431152e-01
1.288081765174865723e+00,1.052856445312500000e+00
6.923140287399291992e-01,1.232613444328308105e+00
7.829426527023315430e-01,1.162364721298217773e+00
8.058404922485351562e-01,1.160870075225830078e+00
1.104664206504821777e+00,9.818821549415588379e-01
1.036249041557312012e+00,6.622134447097778320e-01
9.208136200904846191e-01,1.289742231369018555e+00
1.247486114501953125e+00,1.104723095893859863e+00
1.057553291320800781e+00,8.298944830894470215e-01
9.070373773574829102e-01,9.202696681022644043e-01
-7.840499281883239746e-01,-1.081936001777648926e+00
1.065371274948120117e+00,8.529189229011535645e-01
-9.984893202781677246e-01,-1.296730875968933105e+00
-1.249765396118164062e+00,-1.156206250190734863e+00
6.521060466766357422e-01,7.269920110702514648e-01
-9.595586061477661133e-01,-9.323150515556335449e-01
-9.266416430473327637e-01,-1.111202597618103027e+00
8.836426138877868652e-01,1.073151111602783203e+00
-9.323247075080871582e-01,-1.016382575035095215e+00
1.054652929306030273e+00,1.169897556304931641e+00
9.946027398109436035e-01,1.010107517242431641e+00
-9.056089520454406738e-01,-9.938522577285766602e-01
-1.213878750801086426e+00,-1.100907206535339355e+00
5.785905718803405762e-01,9.459983110427856445e-01
-1.001304388046264648e+00,-9.258126616477966309e-01
5.964424014091491699e-01,1.041413187980651855e+00
7.001984119415283203e-01,7.039793729782104492e-01
-3.744266927242279053e-01,-1.201560497283935547e+00
1.145794868469238281e+00,9.394590258598327637e-01
1.265617012977600098e+00,1.117296457290649414e+00
9.644215703010559082e-01,1.307095050811767578e+00
1.212175369262695312e+00,9.300022125244140625e-01
1.236794590950012207e+00,9.176871776580810547e-01
9.680893421173095703e-01,9.363603591918945312e-01
9.136003851890563965e-01,6.794354915618896484e-01
-1.132817864418029785e+00,-9.381978511810302734e-01
-1.110934495925903320e+00,-9.109424948692321777e-01
1.059223175048828125e+00,9.368122816085815430e-01
-7.497420310974121094e-01,-9.089668393135070801e-01
9.637871980667114258e-01,7.298281192779541016e-01
1.158118605613708496e+00,8.968170881271362305e-01
9.305119514465332031e-01,9.123585224151611328e-01
1.211573600769042969e+00,1.046332597732543945e+00
-7.271848917007446289e-01,-9.893261790275573730e-01
-1.142514705657958984e+00,-1.737735867500305176e+00
-1.407790899276733398e+00,-1.209125757217407227e+00
1.208549022674560547e+00,1.011875629425048828e+00
9.474954605102539062e-01,1.183106303215026855e+00
1.109629511833190918e+00,1.024467110633850098e+00
1.423482418060302734e+00,9.948627948760986328e-01
-1.011108398437500000e+00,-7.151232361793518066e-01
8.626510500907897949e-01,8.301435112953186035e-01
1.207632184028625488e+00,1.346736192703247070e+00
-9.001502394676208496e-01,-8.265756368637084961e-01
-1.290540814399719238e+00,-3.890742659568786621e-01
-9.060814380645751953e-01,-7.764655351638793945e-01
-8.617912530899047852e-01,-5.402089953422546387e-01
8.265462517738342285e-01,9.683862328529357910e-01
1.169036030769348145e+00,1.120711803436279297e+00
1.065624594688415527e+00,1.137496590614318848e+00
-1.179412841796875000e+00,-6.042224764823913574e-01
-1.047487139701843262e+00,-9.172786474227905273e-01
9.031946659088134766e-01,7.015986442565917969e-01
-7.573627829551696777e-01,-8.327431082725524902e-01
-1.080830097198486328e+00,-7.280877232551574707e-01
-1.272932887077331543e+00,-1.174453854560852051e+00
-5.307991504669189453e-01,-7.392157316207885742e-01
-8.983392715454101562e-01,-7.633444666862487793e-01
-9.892994761466979980e-01,-1.120997905731201172e+00
-1.545474290847778320e+00,-7.240092754364013672e-01
-6.477776765823364258e-01,-9.883771538734436035e-01
-8.185409903526306152e-01,-9.646043777465820312e-01
1.147171139717102051e+00,1.187578320503234863e+00
-1.053497314453125000e+00,-7.153078913688659668e-01
6.657099723815917969e-01,7.482550740242004395e-01
1.298757433891296387e+00,9.975449442863464355e-01
1.070260286331176758e+00,1.034572839736938477e+00
-1.037058472633361816e+00,-1.106193065643310547e+00
6.700111627578735352e-01,7.674701809883117676e-01
1.095940709114074707e+00,1.241327166557312012e+00
6.301326155662536621e-01,1.478633522987365723e+00
-1.101923584938049316e+00,-6.290266513824462891e-01
9.584361314773559570e-01,1.104882359504699707e+00
1.046769380569458008e+00,9.939563870429992676e-01
-1.188878774642944336e+00,-9.348649382591247559e-01
-1.066354870796203613e+00,-7.667682170867919922e-01
8.740203976631164551e-01,1.212668418884277344e+00
1.093257188796997070e+00,1.348083496093750000e+00
1.159696459770202637e+00,7.946491241455078125e-01
-8.134195804595947266e-01,-1.156000971794128418e+00
-9.171106219291687012e-01,-1.839574098587036133e+00
-1.212679743766784668e+00,-1.369258403778076172e+00
-1.160044193267822266e+00,-7.172864675521850586e-01
9.314967989921569824e-01,1.210273742675781250e+00
1.573371052742004395e+00,1.159718751907348633e+00
8.156155347824096680e-01,7.822434306144714355e-01
-9.979298710823059082e-01,-7.512136101722717285e-01
-9.871870875358581543e-01,-6.296092271804809570e-01
1.117481112480163574e+00,1.134347200393676758e+00
8.672050833702087402e-01,7.802602648735046387e-01
-1.020266413688659668e+00,-9.597480297088623047e-01
7.221263647079467773e-01,1.465936422348022461e+00
1.260598182678222656e+00,1.019352316856384277e+00
-1.079793930053710938e+00,-1.036931276321411133e+00
9.894077181816101074e-01,1.113423466682434082e+00
7.822712063789367676e-01,1.214202284812927246e+00
